,len,species,positive,abslen
446,1099.0,H. sapiens,True,1099.0
447,2821.0,H. sapiens,True,2821.0
448,2134.0,H. sapiens,True,2134.0
449,2743.0,H. sapiens,True,2743.0
450,1017.0,H. sapiens,True,1017.0
451,1035.0,H. sapiens,True,1035.0
452,1003.0,H. sapiens,True,1003.0
453,1179.0,H. sapiens,True,1179.0
454,1394.0,H. sapiens,True,1394.0
455,2960.0,H. sapiens,True,2960.0
456,1066.0,H. sapiens,True,1066.0
457,1569.0,H. sapiens,True,1569.0
458,2146.0,H. sapiens,True,2146.0
459,1626.0,H. sapiens,True,1626.0
460,1385.0,H. sapiens,True,1385.0
461,1031.0,H. sapiens,True,1031.0
462,1310.0,H. sapiens,True,1310.0
463,1011.0,H. sapiens,True,1011.0
464,1843.0,H. sapiens,True,1843.0
465,2014.0,H. sapiens,True,2014.0
466,2295.0,H. sapiens,True,2295.0
467,2399.0,H. sapiens,True,2399.0
468,4093.0,H. sapiens,True,4093.0
469,1575.0,H. sapiens,True,1575.0
470,2184.0,H. sapiens,True,2184.0
471,7778.0,H. sapiens,True,7778.0
472,1912.0,H. sapiens,True,1912.0
473,2489.0,H. sapiens,True,2489.0
474,1246.0,H. sapiens,True,1246.0
475,1607.0,H. sapiens,True,1607.0
476,2536.0,H. sapiens,True,2536.0
477,-1412.0,H. sapiens,False,1412.0
478,1096.0,H. sapiens,True,1096.0
479,3626.0,H. sapiens,True,3626.0
480,2443.0,H. sapiens,True,2443.0
481,1297.0,H. sapiens,True,1297.0
482,1761.0,H. sapiens,True,1761.0
483,3978.0,H. sapiens,True,3978.0
484,2260.0,H. sapiens,True,2260.0
485,1054.0,H. sapiens,True,1054.0
486,1507.0,H. sapiens,True,1507.0
487,2152.0,H. sapiens,True,2152.0
488,2843.0,H. sapiens,True,2843.0
489,1052.0,H. sapiens,True,1052.0
490,1644.0,H. sapiens,True,1644.0
491,1093.0,H. sapiens,True,1093.0
492,1889.0,H. sapiens,True,1889.0
493,1306.0,H. sapiens,True,1306.0
494,3494.0,H. sapiens,True,3494.0
495,2678.0,H. sapiens,True,2678.0
496,1976.0,H. sapiens,True,1976.0
497,1027.0,H. sapiens,True,1027.0
498,1544.0,H. sapiens,True,1544.0
499,1161.0,H. sapiens,True,1161.0
500,1003.0,H. sapiens,True,1003.0
501,1749.0,H. sapiens,True,1749.0
502,1269.0,H. sapiens,True,1269.0
503,1160.0,H. sapiens,True,1160.0
504,2073.0,H. sapiens,True,2073.0
505,1099.0,H. sapiens,True,1099.0
506,1214.0,H. sapiens,True,1214.0
507,5131.0,H. sapiens,True,5131.0
508,1788.0,H. sapiens,True,1788.0
509,4399.0,H. sapiens,True,4399.0
510,1569.0,H. sapiens,True,1569.0
511,3151.0,H. sapiens,True,3151.0
512,1184.0,H. sapiens,True,1184.0
513,1821.0,H. sapiens,True,1821.0
514,1279.0,H. sapiens,True,1279.0
515,1178.0,H. sapiens,True,1178.0
516,3200.0,H. sapiens,True,3200.0
517,2088.0,H. sapiens,True,2088.0
518,2261.0,H. sapiens,True,2261.0
519,1003.0,H. sapiens,True,1003.0
520,1764.0,H. sapiens,True,1764.0
521,1347.0,H. sapiens,True,1347.0
522,2439.0,H. sapiens,True,2439.0
523,1088.0,H. sapiens,True,1088.0
524,5134.0,H. sapiens,True,5134.0
525,1587.0,H. sapiens,True,1587.0
526,5613.0,H. sapiens,True,5613.0
527,1958.0,H. sapiens,True,1958.0
528,1662.0,H. sapiens,True,1662.0
529,1684.0,H. sapiens,True,1684.0
530,2958.0,H. sapiens,True,2958.0
531,1067.0,H. sapiens,True,1067.0
532,2631.0,H. sapiens,True,2631.0
533,3545.0,H. sapiens,True,3545.0
534,1375.0,H. sapiens,True,1375.0
